,S_p,nu_p,alpha_thin,alpha_thick,RA_gleam,Dec_gleam
240,7.872848,121.0,-0.7424704,1.3329092,49.044605,-68.35112
241,0.27732712,316.0,-0.5664761,1.9099569,49.142693,-9.811822
242,0.29726347,205.0,-0.9267888,2.737292,49.33283,-60.368767
243,0.62133235,177.0,-0.6309964,1.5840629,49.713875,16.220478
244,0.9750496,108.0,-0.66040164,2.4413779,49.814816,-62.56565
245,1.2753112,139.0,-0.62396,1.8793986,49.902466,-56.36951
246,0.6525936,179.0,-1.1128911,1.1885388,49.98173,-35.668297
247,1.4357477,154.0,-0.586213,0.43877694,50.028954,-62.78947
249,0.2611888,391.0,-1.2748083,0.7674304,50.183315,-39.890305
250,0.57055837,506.0,-1.9577096,0.8305591,50.341938,-21.226505
251,0.47268578,181.0,-0.6888697,1.7025721,50.531223,-58.137646
252,0.7516375,244.0,-0.62700844,0.5116506,50.65826,-48.3363
253,8.455284,944.0,-0.40089592,0.2672293,50.83499,5.570457
254,0.8558187,342.0,-1.0302312,1.5102271,51.234768,4.7799253
256,0.52390105,129.0,-0.5381622,2.2872443,51.368645,-24.012806
257,0.37799028,540.0,-0.25400776,0.44692326,51.611584,-29.159832
259,0.59669363,106.0,-0.519882,3.3826783,51.93435,-75.96526
260,1.0719161,379.0,-1.465139,0.6406273,51.977196,-37.485573
261,0.5404468,153.0,-0.8143279,1.3585297,52.151707,-20.360775
263,0.33384797,219.0,-0.81625724,1.449997,52.49812,-20.178772
264,0.27279484,383.0,-1.8927605,0.57359433,52.530487,12.081738
265,0.48295042,296.0,-0.22870652,3.4363704,52.596153,-7.681274
266,0.44755775,347.0,-1.2511917,0.74845845,52.912056,-49.15628
267,0.57122666,139.0,-0.573874,1.128214,53.031147,3.0910678
268,0.6222058,133.0,-0.6398185,2.0425653,53.107616,-53.32363
269,0.58142215,157.0,-0.8210073,1.3813021,53.204773,3.0967429
270,0.22644109,272.0,-1.3498683,0.25482136,53.939426,9.128939
271,6.740612,122.0,-0.64341265,1.1556674,54.111416,13.038832
272,0.5290879,165.0,-0.19602111,3.5637639,54.17723,-13.937836
273,0.85302156,447.0,-0.2981849,0.26834694,55.013443,-21.866877
274,0.5441032,140.0,-0.22436681,2.241611,55.338566,-59.902096
275,0.80856645,415.0,-0.92295086,1.5157491,55.50754,-32.93668
276,0.8731927,105.0,-0.62807894,1.2900655,55.576717,-63.245087
277,0.4736824,144.0,-0.8374104,1.9228046,56.440983,-55.78345
278,2.2884443,115.0,-0.6239793,1.1360561,56.520554,-65.82288
279,0.23722176,321.0,-1.5778099,0.8635262,56.85598,-33.67958
280,0.52894616,118.0,-0.95232975,2.182428,56.905506,-19.371578
281,1.114723,468.0,-1.280001,1.1560947,57.053886,17.101757
282,0.5570562,205.0,-0.23953724,2.12546,57.78575,-15.324993
283,0.6765314,155.0,-0.53647166,2.4910922,57.818142,1.3272489
284,0.46208683,240.0,-1.3084471,0.5518857,58.150707,-8.573065
285,0.97681224,724.0,-0.14761958,0.48790732,58.221165,17.90767
286,0.37768364,416.0,-0.5957799,0.86886764,58.38883,-13.891639
287,0.27165836,236.0,-0.48141596,1.5874324,58.619003,8.524217
289,0.8821675,145.0,-0.8022105,0.41976735,60.002964,-7.642441
290,0.3142577,213.0,-0.74631786,3.7358494,60.313522,15.987553
291,0.17298535,261.0,-1.6497879,1.2001308,60.324608,-35.913227
292,0.36667445,173.0,-0.71516114,1.1993624,60.381046,-70.915726
294,0.35389727,245.0,-1.415229,0.7288606,60.49179,-68.74803
295,0.9465821,369.0,-0.8033649,1.3801482,60.93361,-60.232048
297,0.18360382,279.0,-0.8546493,1.6209977,61.1459,-25.93265
298,2.7401242,121.0,-0.7372871,0.29750812,61.255753,16.172203
299,0.61810493,134.0,-0.85436654,1.7334521,61.2849,-56.735874
300,0.32308823,207.0,-0.43260655,3.7042954,61.29924,-69.387115
302,0.30154383,203.0,-0.4995663,1.9610722,61.83667,-56.039463
303,0.22895253,325.0,-1.0452039,1.3625879,62.059002,-45.577526
304,51.45231,225.0,-0.87245876,1.089006,62.085506,-65.74967
305,6.5407505,124.0,-0.65988487,0.5254332,62.278316,-17.95223
306,4.4253116,183.0,-1.0084596,0.5782181,62.5931,-52.54651
307,1.1284014,270.0,-1.8273698,0.3921127,62.668865,10.318362
308,0.7943036,427.0,-0.7819469,1.6272011,62.677868,-34.16497
309,0.95253676,138.0,-0.87735647,2.5855188,62.755077,-50.925594
311,0.5381953,195.0,-1.0415273,0.68517894,62.850838,-76.38012
312,0.2568444,210.0,-1.3171601,1.2143375,63.199287,-19.654497
313,0.6423952,147.0,-1.1673162,0.6187362,63.47026,1.9128704
314,2.996501,471.0,-0.74758804,1.0409948,63.657993,5.5766406
315,1.6068529,148.0,-1.2175598,0.66441983,64.02602,-58.403603
317,0.59425986,125.0,-0.45683047,0.066250354,64.44342,-39.962822
318,1.1413057,164.0,-0.95611215,0.798947,64.46152,-21.394485
319,0.3026978,196.0,-0.58414763,1.6592147,64.474976,3.7099247
320,0.49547094,357.0,-0.8152406,0.7373482,64.748024,-50.308178
321,0.16844292,266.0,-0.87967485,1.1387122,64.759415,-32.136795
322,0.581455,218.0,-0.76390636,1.6589324,64.896454,8.271985
323,0.72030926,114.0,-0.5350242,2.7440653,65.13334,-14.283757
324,0.2955625,379.0,-1.9168415,0.28274557,65.2565,-9.866625
325,0.25178787,202.0,-0.2798722,3.1332662,65.44667,-37.808884
326,0.22508973,205.0,-0.7379266,0.64485765,65.50884,-21.389225
327,0.42202815,160.0,-0.7120232,1.6852425,65.62922,-17.696966
328,1.3869432,425.0,-0.78396,1.3308824,66.25963,-24.858232
329,1.4494361,363.0,-0.874371,0.4854511,66.47288,-16.211105
330,1.6131738,520.0,-0.0066781566,0.47720486,66.72193,-52.25683
331,1.4102491,345.0,-0.29007554,2.3446658,66.7804,-13.049693
332,0.44158688,175.0,-0.751389,1.8592131,66.787544,-59.370316
333,1.3282279,114.0,-0.8389971,0.21485987,66.83503,-54.3723
334,3.5402489,154.0,-0.7513915,0.5187528,67.19455,21.558022
335,0.9795494,425.0,-2.2546527,0.9321126,67.59509,-53.305836
336,0.40115085,269.0,-0.4608378,3.343027,67.67213,-13.139359
337,1.4992813,165.0,-0.9335214,1.1138207,67.75066,-61.196445
338,0.40410733,534.0,-1.9328462,1.0506548,67.77186,-24.201698
339,0.5560674,284.0,-1.1664355,0.16784215,68.12575,-9.388128
340,0.18970075,204.0,-1.3411239,0.9568401,68.16856,-79.04875
341,2.8448381,348.0,-0.6668475,1.0616953,68.47915,-2.4992023
342,0.39600557,293.0,-0.44946772,3.4817872,68.84451,-13.440895
343,0.79911655,284.0,-1.2259641,0.50847673,68.94039,-12.100614
344,0.37339634,322.0,-0.78662866,0.9596157,69.25098,-56.798695
345,0.73650867,136.0,-0.6271234,2.0780826,69.44495,10.800989
346,2.1443224,211.0,-0.8405994,0.6185627,69.59109,-7.272211
347,1.4913329,102.0,-0.5462076,0.094084844,69.63189,-43.225807
348,0.6892027,285.0,-0.3212766,2.2440927,69.65939,-8.8062105
349,0.33853692,181.0,-0.6189299,1.3794589,69.69611,-5.320786
